sequence,method,status,primary_map,metric,sparse,maps,samples,primary_map_coverage,output_fraction,wall_s,SE3_ATE_m,SE3_scale,SE3_RPE_1s_m,Sim3_ATE_m,Sim3_scale,Sim3_RPE_1s_m
143557,ours_candidate,complete,atlas_0,True,False,2,2192,0.7834167262330236,0.7837741243745533,638.9292948070215,0.30156535165433696,1.0,0.027381083526386886,0.1702529022048756,1.0187982551589136,0.020005449459772673
143557,ours_control,complete,atlas_0,True,False,2,2192,0.7834167262330236,0.7837741243745533,527.3579338729614,0.30156535165433696,1.0,0.027381083526386886,0.1702529022048756,1.0187982551589136,0.020005449459772673
143557,marker-only,complete,map_24,True,False,7,452,0.16154395997140814,0.21658327376697642,1.5672277089906856,8.576886836917888,1.0,0.01791127444302918,1.9316377253538382,9.492275561928007,1.661097030074693
143557,orb,complete,map_2,False,False,2,2415,0.8631165117941386,0.8884917798427449,199.3544694390148,,,,7.703855094399215,0.5774783735522004,0.4002888042749345
143557,loose,complete,map_2,True,False,2,2415,0.8631165117941386,0.8884917798427449,0.5655614039860666,12.271012037510038,1.0,0.8026610112851555,7.703855094406027,3.7981509546646333,0.40028880428268554
143557,uco,complete,keyframes,True,True,1,79,0.028234453180843458,0.028234453180843458,196.2839547790354,0.05461576550415384,1.0,,0.026334080063202276,0.978500296715389,
143557,tagslam_slow,failed,,True,False,,,,,6.428025067027193,,,,,,
143557,tagslam,failed,,True,False,,,,,4.524210904957727,,,,,,
143557,ldso,failed,,False,True,,,,,398.8857293470064,,,,,,
143557,droid,complete,trajectory,False,False,1,2797,0.9996426018584703,1.0,321.0649306587875,,,,0.2712346577559349,0.8985884886433965,0.029985992878284684
144015,ours_candidate,complete,atlas_0,True,False,1,1659,0.9793388429752066,0.9793388429752066,275.27950245398097,0.19568927510970904,1.0,0.020110155026794998,0.10577932463176065,0.9887958867523565,0.01692469656930865
144015,ours_control,complete,atlas_0,True,False,1,1659,0.9793388429752066,0.9793388429752066,217.91349524405086,0.19569525329087764,1.0,0.020116780214359614,0.10578910595642627,0.9887958314487885,0.016931179112683256
144015,marker-only,complete,map_24,True,False,4,342,0.20188902007083825,0.2319952774498229,0.6147756249993108,8.064593258195373,1.0,0.006489713739994827,2.078702575084924,8.623433334297665,0.6834896830081598
144015,orb,complete,map_1,False,False,2,1507,0.8896103896103896,0.9527744982290437,119.95549845398637,,,,0.11285823510220472,5.888262199462221,0.05883774897916973
144015,loose,complete,map_1,True,False,2,1507,0.8896103896103896,0.9527744982290437,0.4651677670190111,0.7995753736631772,1.0,0.07089728335483464,0.11285823509317228,1.0560633616632595,0.058837748979979516
144015,uco,complete,keyframes,True,True,1,37,0.021841794569067298,0.021841794569067298,112.17877228104044,0.0072392172898536845,1.0,,0.00720976572555672,1.0056110672149985,
144015,tagslam_slow,failed,,True,False,,,,,5.276233903015964,,,,,,
144015,tagslam,failed,,True,False,,,,,5.575780903978739,,,,,,
144015,ldso,failed,,False,True,,,,,211.18281486997148,,,,,,
144015,droid,complete,trajectory,False,False,1,1694,1.0,1.0,158.15439322590828,,,,0.31619909854360173,0.7721162269517455,0.036055512047305956
144221,ours_candidate,complete,atlas_0,True,False,1,1824,0.9967213114754099,0.9978142076502732,315.4269489880535,0.25170477503568417,1.0,0.019366580139494716,0.14590029170778726,0.9856782820541041,0.020523377262595167
144221,ours_control,complete,atlas_0,True,False,1,1814,0.9912568306010929,0.9923497267759562,210.65033224300714,0.27103839489965015,1.0,0.027757652074377158,0.11905055382458897,0.9830698326943161,0.018445111867388977
144221,marker-only,complete,map_24,True,False,7,555,0.30327868852459017,0.387431693989071,0.7664563650032505,8.379638582413335,1.0,0.03586197892157972,1.7825040370368526,9.237384389860216,1.0289825967833393
144221,orb,complete,map_3,False,False,4,911,0.49781420765027323,0.8092896174863388,137.53288283903385,,,,0.07883886587075387,1.0618698993329216,0.02984076269905199
144221,loose,complete,map_3,True,False,4,911,0.49781420765027323,0.8092896174863388,0.5152902739937417,0.2502578957782799,1.0,0.03820727308323983,0.07883886585518134,0.9816853879805478,0.02984076268223725
144221,uco,complete,keyframes,True,True,1,150,0.08196721311475409,0.08196721311475409,128.07324475899804,0.21658974928193186,1.0,,0.03954134327778647,0.9677976201882672,
144221,tagslam_slow,complete,trajectory,True,False,1,354,0.19344262295081968,0.19344262295081968,10.387123407970648,0.03390274375450157,1.0,0.00992611965605261,0.0337180771488278,0.9689784630729784,0.010235065919569755
144221,tagslam,complete,trajectory,True,False,1,354,0.19344262295081968,0.19344262295081968,7.884268080000766,0.03390274375450157,1.0,0.00992611965605261,0.0337180771488278,0.9689784630729784,0.010235065919569755
144221,ldso,failed,,False,True,,,,,198.47387374204118,,,,,,
144221,droid,complete,trajectory,False,False,1,1828,0.9989071038251366,1.0,159.4635020494461,,,,1.0010412016155898,0.8222448797591628,0.0964269370517276
